Target Files,5,10,15,20,25,30,35,40,s5,s10,s15,s20,s25,s30,s35,s40
spear_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same
spear_4,-0.29850746268699996,-0.29850746268699996,-0.29850746268699996,-0.29850746268699996,-0.29850746268699996,-0.29850746268699996,-0.29850746268699996,-0.59701492537299994,worse,worse,worse,worse,worse,worse,worse,worse
spear_6,0.049212598425199996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,better,same,same,same,same,same,same,same
spear_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same
spear_0,-0.099304865938399989,-0.099304865938399989,-0.099304865938399989,-0.099304865938399989,-0.099304865938399989,-0.099304865938399989,-0.099304865938399989,-0.19860973187700001,worse,worse,worse,worse,worse,worse,worse,worse
spear_3,0.0,0.10131712259299996,0.0,0.10131712259299996,0.10131712259299996,0.050658561296499982,0.10131712259299996,0.10131712259299996,same,better,same,better,same,better,better,better
spear_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same
spear_9,-0.099502487562199995,-0.099502487562199995,-0.099502487562199995,-0.099502487562199995,-0.099502487562199995,-0.099502487562199995,-0.099502487562199995,-0.14925373134309999,worse,worse,worse,worse,worse,worse,worse,worse
spear_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,same,same,same,same,same,same
